# Confirmed reference fields: an EVALUATION SET, never an input to generation.
#
# Each row is a field that upstream implemented as a KCC reference and that our
# mechanically generated CRD emitted as a plain string. The answers exist only
# because upstream had already done the work; a genuinely new resource has no
# such answer, so nothing here can feed the generator.
#
# What it is for: measuring a reference heuristic's RECALL. An earlier attempt at
# name-based detection was abandoned after it produced 2,164 findings, but nobody
# could count how many real references it caught, because no list of correct
# answers existed. This is that list.
#
# Provenance: the 239-resource replication run on branch greenfield-healthy100,
# baseline c1df0b9326 (predates every experiment commit, so all resources there
# are hand-written upstream work). Pairs come from `crd-mcp-server score`, which
# reports each baseline reference path alongside the plain field we generated in
# its place. Target types are resolved by matching the JSON tag in upstream's Go
# source -- not by deriving a field name from the path, which left 15-22 rows
# unresolved and mis-stated several per-type counts.
#
# Scope: the 98 measured resources, excluding compute and networksecurity whose
# CRD generation failed and left stale files.
#
# kind<TAB>service<TAB>plain field we generated<TAB>reference path upstream used<TAB>target ref type
ApigeeRegistryInstance	apigeeregistry	spec.config.cmekKeyName	spec.config.cmekKeyNameRef	KMSCryptoKeyRef
AppOptimizeReport	appoptimize	spec.scopes[].application	spec.scopes[].applicationRef	ApplicationRef
AppOptimizeReport	appoptimize	spec.scopes[].project	spec.scopes[].projectRef	ProjectRef
AssuredWorkloadsWorkload	assuredworkloads	spec.billingAccount	spec.billingAccountRef	BillingAccountRef
BackupDRManagementServer	backupdr	spec.networks[].network	spec.networks[].networkRef	ComputeNetworkRef
BigQueryDataPolicy	bigquerydatapolicy	spec.policyTag	spec.policyTagRef	PolicyTagRef
CertificateManagerCertificateIssuanceConfig	certificatemanager	spec.certificateAuthorityConfig.certificateAuthorityServiceConfig.caPool	spec.certificateAuthorityConfig.certificateAuthorityServiceConfig.caPoolRef	PrivateCACAPoolRef
CloudBuildConnection	cloudbuild	spec.bitbucketCloudConfig.authorizerCredential.userTokenSecretVersion	spec.bitbucketCloudConfig.authorizerCredential.userTokenSecretVersionRef	SecretManagerSecretVersionRef
CloudBuildConnection	cloudbuild	spec.bitbucketCloudConfig.readAuthorizerCredential.userTokenSecretVersion	spec.bitbucketCloudConfig.readAuthorizerCredential.userTokenSecretVersionRef	SecretManagerSecretVersionRef
CloudBuildConnection	cloudbuild	spec.bitbucketCloudConfig.webhookSecretSecretVersion	spec.bitbucketCloudConfig.webhookSecretSecretVersionRef	SecretManagerSecretVersionRef
CloudBuildConnection	cloudbuild	spec.bitbucketDataCenterConfig.authorizerCredential.userTokenSecretVersion	spec.bitbucketDataCenterConfig.authorizerCredential.userTokenSecretVersionRef	SecretManagerSecretVersionRef
CloudBuildConnection	cloudbuild	spec.bitbucketDataCenterConfig.readAuthorizerCredential.userTokenSecretVersion	spec.bitbucketDataCenterConfig.readAuthorizerCredential.userTokenSecretVersionRef	SecretManagerSecretVersionRef
CloudBuildConnection	cloudbuild	spec.bitbucketDataCenterConfig.serviceDirectoryConfig.service	spec.bitbucketDataCenterConfig.serviceDirectoryConfig.serviceRef	ServiceDirectoryServiceRef
CloudBuildConnection	cloudbuild	spec.bitbucketDataCenterConfig.webhookSecretSecretVersion	spec.bitbucketDataCenterConfig.webhookSecretSecretVersionRef	SecretManagerSecretVersionRef
