# Fields the generator emitted mechanically but cannot vouch for.
# Each entry needs a human decision: is it a reference, should it be omitted,
# should it be renamed for KRM conventions?
#
# While a resource has entries here, TestMissingRefs suppresses its [refs]
# findings. Clearing them graduates the resource and the ratchet applies.

kind=BigLakeCatalog group=bigquerybiglake.cnrm.cloud.google.com: resource reason=untriaged-bulk-generation (spec was generated mechanically; confirm refs, omissions and KRM names)
kind=BigLakeCatalog group=bigquerybiglake.cnrm.cloud.google.com: field ".status.observedState.name" reason=observedstate-identity-field-omitted (proto marks it OUTPUT_ONLY; KCC carries the resource name in status.externalRef instead. Confirm that is right for this resource)
kind=BigLakeCatalog group=bigquerybiglake.cnrm.cloud.google.com: field ".spec.location" reason=parent-location-guessed (emitted from the location segment of projects/{project}/locations/{location}/catalogs/{catalog}; confirm the resource is regional and that this is the name for it)
kind=BigLakeDatabase group=bigquerybiglake.cnrm.cloud.google.com: resource reason=untriaged-bulk-generation (spec was generated mechanically; confirm refs, omissions and KRM names)
kind=BigLakeDatabase group=bigquerybiglake.cnrm.cloud.google.com: field ".status.observedState.name" reason=observedstate-identity-field-omitted (proto marks it OUTPUT_ONLY; KCC carries the resource name in status.externalRef instead. Confirm that is right for this resource)
kind=BigLakeDatabase group=bigquerybiglake.cnrm.cloud.google.com: field ".spec.location" reason=parent-location-guessed (emitted from the location segment of projects/{project}/locations/{location}/catalogs/{catalog}/databases/{database}; confirm the resource is regional and that this is the name for it)
kind=BigLakeDatabase group=bigquerybiglake.cnrm.cloud.google.com: field ".spec.catalog" reason=parent-segment-guessed (emitted as a plain string from the pattern projects/{project}/locations/{location}/catalogs/{catalog}/databases/{database}; upstream may model this as a reference instead)
kind=BigLakeTable group=bigquerybiglake.cnrm.cloud.google.com: resource reason=untriaged-bulk-generation (spec was generated mechanically; confirm refs, omissions and KRM names)
kind=BigLakeTable group=bigquerybiglake.cnrm.cloud.google.com: field ".status.observedState.name" reason=observedstate-identity-field-omitted (proto marks it OUTPUT_ONLY; KCC carries the resource name in status.externalRef instead. Confirm that is right for this resource)
kind=BigLakeTable group=bigquerybiglake.cnrm.cloud.google.com: field ".spec.location" reason=parent-location-guessed (emitted from the location segment of projects/{project}/locations/{location}/catalogs/{catalog}/databases/{database}/tables/{table}; confirm the resource is regional and that this is the name for it)
kind=BigLakeTable group=bigquerybiglake.cnrm.cloud.google.com: field ".spec.catalog" reason=parent-segment-guessed (emitted as a plain string from the pattern projects/{project}/locations/{location}/catalogs/{catalog}/databases/{database}/tables/{table}; upstream may model this as a reference instead)
kind=BigLakeTable group=bigquerybiglake.cnrm.cloud.google.com: field ".spec.database" reason=parent-segment-guessed (emitted as a plain string from the pattern projects/{project}/locations/{location}/catalogs/{catalog}/databases/{database}/tables/{table}; upstream may model this as a reference instead)
